Max flow: 284
Edges
From		To		Capacity/Flow
1		979		1.00/1.00
1		793		4.00/4.00
1		348		3.00/3.00
1		961		7.00/7.00
1		704		8.00/8.00
1		756		3.00/3.00
1		185		8.00/8.00
1		311		8.00/8.00
1		896		3.00/3.00
1		22		8.00/8.00
1		129		5.00/5.00
1		93		6.00/6.00
1		204		10.00/10.00
1		331		10.00/10.00
1		960		2.00/2.00
1		368		8.00/8.00
1		721		4.00/4.00
1		817		5.00/5.00
1		379		2.00/2.00
1		531		4.00/4.00
1		114		3.00/3.00
1		741		4.00/4.00
1		921		1.00/1.00
1		403		6.00/6.00
1		705		1.00/1.00
1		455		4.00/4.00
1		731		10.00/10.00
1		806		10.00/10.00
1		680		5.00/5.00
1		248		3.00/3.00
1		943		9.00/9.00
1		533		2.00/2.00
1		925		8.00/8.00
1		766		7.00/7.00
1		671		3.00/3.00
1		764		6.00/6.00
1		652		2.00/2.00
1		384		4.00/4.00
1		650		5.00/5.00
1		223		1.00/1.00
1		47		3.00/3.00
1		160		8.00/8.00
1		670		3.00/3.00
1		916		8.00/8.00
1		778		10.00/10.00
1		389		9.00/9.00
1		50		6.00/6.00
1		769		10.00/10.00
1		370		9.00/9.00
1		866		4.00/4.00
1		936		1.00/1.00
1		613		2.00/2.00
1		851		8.00/8.00
3		526		1.00/0.00
3		180		10.00/0.00
3		705		10.00/0.00
4		697		2.00/0.00
4		199		9.00/0.00
4		898		2.00/0.00
4		607		9.00/0.00
4		967		3.00/0.00
4		136		9.00/0.00
4		996		3.00/0.00
4		230		2.00/0.00
4		667		3.00/0.00
5		199		6.00/0.00
5		446		6.00/0.00
5		765		5.00/0.00
5		876		7.00/0.00
5		873		9.00/0.00
5		102		1.00/0.00
6		449		4.00/0.00
6		736		2.00/0.00
6		416		3.00/0.00
6		932		10.00/0.00
6		108		1.00/0.00
6		587		7.00/0.00
6		438		3.00/0.00
7		906		10.00/0.00
7		579		10.00/0.00
7		232		7.00/0.00
7		960		7.00/0.00
7		899		2.00/0.00
7		656		1.00/0.00
7		228		6.00/0.00
7		952		7.00/0.00
7		335		6.00/0.00
8		84		3.00/0.00
8		973		1.00/0.00
8		770		9.00/0.00
8		525		2.00/0.00
9		944		7.00/0.00
9		639		7.00/0.00
9		544		9.00/0.00
9		878		10.00/0.00
9		409		1.00/0.00
9		522		4.00/0.00
9		795		10.00/0.00
10		318		6.00/0.00
10		929		2.00/0.00
10		893		4.00/0.00
10		817		5.00/0.00
10		475		8.00/0.00
10		51		6.00/0.00
10		177		7.00/0.00
11		452		8.00/0.00
11		842		1.00/0.00
12		216		8.00/0.00
12		154		10.00/0.00
12		80		1.00/0.00
12		10		9.00/0.00
12		878		9.00/0.00
12		428		10.00/0.00
12		817		2.00/0.00
12		519		8.00/0.00
13		168		6.00/0.00
13		47		10.00/0.00
13		197		10.00/0.00
13		943		6.00/0.00
13		480		8.00/0.00
13		617		5.00/0.00
14		815		5.00/0.00
14		108		10.00/0.00
14		299		4.00/0.00
14		852		3.00/0.00
14		865		10.00/0.00
14		993		6.00/0.00
14		4		9.00/0.00
15		635		5.00/0.00
15		505		6.00/0.00
15		892		10.00/0.00
15		301		5.00/0.00
15		133		4.00/0.00
15		266		4.00/0.00
15		604		4.00/0.00
15		827		5.00/0.00
16		840		2.00/0.00
16		487		9.00/0.00
16		33		7.00/0.00
16		72		6.00/0.00
16		164		1.00/0.00
16		883		7.00/0.00
16		480		4.00/0.00
16		638		6.00/0.00
17		260		9.00/0.00
17		227		9.00/0.00
17		304		8.00/0.00
17		967		2.00/0.00
17		491		10.00/0.00
18		952		10.00/0.00
18		162		1.00/0.00
18		485		1.00/0.00
18		684		9.00/0.00
19		909		7.00/0.00
19		713		7.00/0.00
19		705		8.00/0.00
19		116		6.00/0.00
19		412		9.00/0.00
20		949		2.00/0.00
20		276		5.00/0.00
20		601		8.00/0.00
20		471		1.00/0.00
20		499		1.00/0.00
21		674		8.00/0.00
21		356		4.00/0.00
21		67		7.00/0.00
22		179		3.00/2.00
22		672		4.00/0.00
22		199		1.00/0.00
22		375		9.00/2.00
22		315		6.00/1.00
22		885		5.00/2.00
22		738		2.00/1.00
22		428		7.00/0.00
23		419		2.00/0.00
23		194		6.00/0.00
23		371		9.00/0.00
23		558		10.00/2.00
24		832		4.00/0.00
24		732		5.00/0.00
24		247		9.00/0.00
25		410		7.00/0.00
25		248		5.00/0.00
25		470		4.00/0.00
25		561		9.00/0.00
26		25		9.00/0.00
26		764		9.00/0.00
26		349		7.00/0.00
26		306		5.00/0.00
26		987		10.00/0.00
26		279		9.00/0.00
26		962		3.00/0.00
27		205		8.00/0.00
27		646		3.00/0.00
27		242		5.00/0.00
27		993		3.00/0.00
27		616		8.00/0.00
27		777		2.00/0.00
27		587		8.00/0.00
27		113		3.00/0.00
27		571		3.00/0.00
28		501		9.00/0.00
28		474		3.00/0.00
28		475		2.00/0.00
29		687		6.00/0.00
29		558		8.00/0.00
29		819		2.00/0.00
29		316		7.00/0.00
29		914		7.00/0.00
30		142		9.00/8.00
30		791		9.00/0.00
31		865		1.00/0.00
31		79		5.00/0.00
31		665		9.00/0.00
31		931		3.00/0.00
31		124		4.00/0.00
32		723		9.00/0.00
32		127		10.00/0.00
32		790		10.00/0.00
32		461		2.00/0.00
33		576		8.00/0.00
33		579		10.00/0.00
33		35		10.00/0.00
33		2		10.00/10.00
34		298		3.00/0.00
34		575		9.00/0.00
34		906		9.00/0.00
34		817		9.00/0.00
34		726		7.00/0.00
34		684		10.00/0.00
34		253		2.00/0.00
34		78		9.00/0.00
35		702		4.00/0.00
35		966		9.00/0.00
35		341		10.00/0.00
35		578		2.00/0.00
36		470		3.00/0.00
36		80		1.00/0.00
36		921		9.00/0.00
36		448		9.00/0.00
36		364		7.00/0.00
36		478		8.00/0.00
36		944		5.00/0.00
37		306		2.00/0.00
37		966		8.00/0.00
37		39		9.00/0.00
37		798		3.00/0.00
38		748		1.00/0.00
38		485		3.00/0.00
38		876		5.00/0.00
38		326		1.00/0.00
38		718		6.00/0.00
38		158		9.00/0.00
38		651		6.00/0.00
38		76		2.00/0.00
39		141		8.00/0.00
39		407		3.00/0.00
40		506		1.00/0.00
40		589		1.00/0.00
40		54		7.00/0.00
41		762		5.00/0.00
41		602		3.00/0.00
41		661		10.00/0.00
41		917		3.00/0.00
41		792		6.00/0.00
41		250		8.00/0.00
42		690		10.00/0.00
42		998		6.00/0.00
42		848		4.00/0.00
42		206		1.00/0.00
42		733		2.00/0.00
42		60		5.00/0.00
