id		father		cost
777		0		0.00
6371		777		0.05
9279		777		0.09
361		6371		0.23
6062		9279		0.27
4924		6062		0.33
3225		6062		0.33
9115		4924		0.36
2352		777		0.38
8025		3225		0.39
3638		6062		0.41
6835		6371		0.43
425		4924		0.43
8680		6062		0.44
6571		3638		0.46
5022		9115		0.47
1876		6371		0.49
5541		6571		0.50
3012		2352		0.51
8849		9279		0.54
4940		6371		0.58
1793		6835		0.58
5591		777		0.59
1731		4924		0.61
7891		3225		0.61
3129		4924		0.63
6103		2352		0.64
4119		6103		0.64
4861		5591		0.65
7973		3225		0.65
5116		3129		0.65
8529		9115		0.67
2615		2352		0.68
3201		7891		0.68
6936		3129		0.68
3480		1793		0.70
9751		3225		0.71
6815		3638		0.72
3018		5591		0.73
6226		9279		0.73
5565		6371		0.73
3274		2615		0.73
6297		2615		0.73
3401		5541		0.73
72		777		0.73
2331		6226		0.74
3455		6815		0.75
4182		6226		0.76
9793		7973		0.76
6257		72		0.76
6199		72		0.76
1115		2352		0.77
2633		4924		0.77
3127		361		0.77
5694		6199		0.78
4694		4940		0.80
6073		1115		0.80
5001		9279		0.80
2404		5001		0.80
229		3638		0.80
8126		361		0.80
2236		5022		0.80
5962		2236		0.80
4870		6226		0.81
8165		3480		0.81
4036		9751		0.81
6144		3401		0.81
1841		6257		0.81
9448		6199		0.81
4511		5591		0.82
5276		5022		0.82
4430		3225		0.82
4954		4430		0.82
214		4694		0.83
6015		5001		0.83
741		2633		0.83
8600		2615		0.83
8358		1841		0.83
909		9448		0.83
5695		2236		0.83
4338		4694		0.84
4522		4511		0.84
7944		6015		0.84
7635		4036		0.84
1997		7944		0.85
4806		9279		0.85
7663		5276		0.85
9677		7973		0.85
9391		3480		0.85
6117		8600		0.85
9236		777		0.85
2025		2404		0.86
127		9279		0.86
5296		3480		0.86
6276		8126		0.86
170		8165		0.86
3713		6297		0.86
4393		6117		0.86
4335		2236		0.86
4388		4335		0.86
9680		214		0.87
7228		2025		0.87
3109		5296		0.87
978		8025		0.87
2288		4036		0.87
1900		2633		0.87
9316		6144		0.87
9478		1841		0.87
6428		978		0.88
4216		9793		0.88
5660		6117		0.88
6347		4388		0.88
4073		3127		0.88
8224		9115		0.89
1853		8224		0.89
1004		4182		0.89
1746		978		0.89
7474		5276		0.89
8029		5116		0.89
9545		6347		0.89
8826		4940		0.90
6088		6103		0.90
7205		6835		0.90
2696		1876		0.90
728		6062		0.90
2652		9391		0.90
758		3401		0.90
6778		4338		0.91
8120		6015		0.91
2065		2404		0.91
6684		2025		0.91
2640		758		0.91
8569		2025		0.92
8797		7228		0.92
5425		6226		0.92
8339		1115		0.92
7816		1876		0.92
4406		1853		0.93
8556		2025		0.93
3471		170		0.93
6484		9316		0.93
8561		5962		0.93
7686		6936		0.93
2502		4522		0.94
1286		7474		0.94
2348		741		0.94
8683		9793		0.94
7878		2633		0.94
3837		7878		0.94
5103		9680		0.95
1625		5425		0.95
3850		1625		0.95
6531		5296		0.95
5576		4861		0.96
7876		5425		0.96
2979		8680		0.96
7681		3109		0.96
4973		7973		0.96
5372		9793		0.96
1328		2633		0.96
5532		5372		0.96
6047		2288		0.96
4873		3274		0.96
2193		7686		0.96
6932		5116		0.96
2046		229		0.97
6770		7663		0.97
7085		3201		0.97
202		9677		0.97
9555		6815		0.97
3142		8358		0.97
656		5576		0.98
694		8556		0.98
9249		3225		0.98
6459		9249		0.98
8301		4806		0.98
9863		5022		0.98
8605		6531		0.98
6950		7085		0.98
3361		3638		0.98
8000		8126		0.98
2964		9316		0.98
8323		3455		0.98
1975		2352		0.98
6093		4338		0.99
5502		6073		0.99
2670		6103		0.99
9980		6571		0.99
1273		3850		0.99
6625		5022		0.99
5387		4870		0.99
6510		741		0.99
7135		1286		0.99
9474		6047		0.99
4754		2964		0.99
7229		5425		1.00
1111		1793		1.00
1434		4036		1.00
8540		8029		1.00
1262		6347		1.00
3648		6932		1.00
625		1997		1.01
9627		4940		1.01
422		2065		1.01
4044		4861		1.01
6467		2696		1.01
8800		3455		1.01
2705		2615		1.01
8349		4335		1.01
495		7205		1.02
5040		4806		1.02
1318		4216		1.02
3244		6950		1.02
3515		3837		1.02
9597		8000		1.02
5349		4388		1.02
9400		8569		1.03
2230		1853		1.03
8782		1853		1.03
7805		694		1.03
4993		8680		1.03
242		5425		1.03
5599		2288		1.03
89		5599		1.03
3634		7135		1.03
8799		361		1.03
5942		777		1.04
4566		2065		1.04
7156		694		1.04
5403		6625		1.04
7018		8849		1.04
2517		229		1.04
5839		5040		1.04
3977		2348		1.04
1497		4873		1.04
3640		909		1.04
6146		4954		1.04
8684		2615		1.04
1708		8349		1.04
938		9680		1.05
1943		8797		1.05
2058		625		1.05
5536		5591		1.05
1782		4119		1.05
9939		694		1.05
1365		6571		1.05
8238		5565		1.05
5187		7891		1.05
8820		5532		1.05
129		2652		1.05
8406		425		1.05
27		4694		1.06
5833		4119		1.06
7393		8782		1.06
6874		8797		1.06
5618		7205		1.06
1092		495		1.06
8641		7018		1.06
3290		3244		1.06
7045		2046		1.06
1380		3634		1.06
5165		6428		1.06
7870		8820		1.06
4055		741		1.06
1196		6047		1.06
9658		8323		1.06
2396		5349		1.06
9329		4335		1.06
6338		8826		1.07
2147		5502		1.07
4785		3018		1.07
2855		2230		1.07
8178		6835		1.07
8219		1625		1.07
5936		4044		1.07
1043		4044		1.07
7866		8224		1.07
