(total cost: 2247.07)
id		father		cost
1		0		0.00
731		1		0.32
1413		731		0.07
1355		1413		0.04
4249		1413		0.06
727		731		0.11
4006		727		0.22
886		4249		0.27
2601		886		0.28
7980		2601		0.02
931		7980		0.05
1053		2601		0.23
7694		1053		0.01
7363		1053		0.23
5885		2601		0.24
4876		1053		0.27
6013		4876		0.11
4836		6013		0.10
322		4836		0.09
3666		322		0.19
9281		3666		0.03
6232		4836		0.22
9872		3666		0.22
5106		322		0.24
194		5106		0.14
9951		5106		0.16
4140		5106		0.19
2261		4140		0.19
2695		931		0.29
1491		2695		0.17
2304		1491		0.05
8523		2304		0.13
6083		8523		0.07
3218		6083		0.13
7771		2304		0.15
1172		8523		0.18
58		1172		0.00
2022		1172		0.05
5037		7771		0.18
2113		5037		0.15
8853		2113		0.13
4237		8853		0.03
1233		58		0.19
6209		5037		0.20
9916		6209		0.11
5739		9916		0.08
9057		9916		0.14
7659		5739		0.17
1169		9057		0.18
5834		1169		0.11
9774		5739		0.22
5514		5834		0.23
2000		5514		0.05
7541		2000		0.10
9611		7541		0.02
2661		7541		0.14
8672		2661		0.05
1885		9611		0.19
6388		2000		0.20
9285		8672		0.22
5240		9285		0.17
5753		5240		0.06
9468		5240		0.16
1134		9611		0.24
6834		1134		0.24
2879		6834		0.23
5032		2879		0.12
1177		5032		0.21
3440		1177		0.18
5579		5032		0.22
9284		5579		0.15
8905		9284		0.01
2963		8905		0.04
3579		8905		0.15
2599		3579		0.10
4168		2599		0.08
4009		4168		0.07
8383		4009		0.07
6116		2599		0.15
2159		6116		0.04
8261		2159		0.03
2458		5579		0.17
7847		8261		0.18
2432		2458		0.18
3517		8383		0.20
4293		3517		0.17
8170		4293		0.12
9678		8170		0.02
3343		5579		0.22
4998		3579		0.23
1973		2599		0.23
7545		1973		0.01
5419		7545		0.05
6819		5419		0.03
2443		6819		0.02
6564		2443		0.03
5048		7545		0.05
2488		5048		0.05
466		6564		0.06
48		5048		0.06
7569		466		0.07
172		7545		0.10
2829		172		0.01
2109		48		0.12
3168		2829		0.15
695		3168		0.15
4951		2443		0.18
1738		4951		0.15
