id		father		cost
777		0		0.00
28382		777		0.08
25798		777		0.18
17122		28382		0.26
38845		777		0.27
45303		38845		0.29
26726		777		0.32
48692		38845		0.36
91937		45303		0.39
62650		17122		0.40
70641		26726		0.42
45818		17122		0.43
64650		70641		0.44
61850		38845		0.45
83069		25798		0.46
14325		17122		0.47
16081		48692		0.47
81820		61850		0.47
59621		777		0.48
73181		83069		0.48
10656		25798		0.48
50201		48692		0.49
34429		10656		0.49
41284		50201		0.50
79456		26726		0.52
52050		28382		0.52
73995		81820		0.52
38363		70641		0.53
16013		79456		0.53
78713		59621		0.54
51142		14325		0.54
89415		50201		0.54
80662		59621		0.55
85235		38845		0.56
5050		38845		0.56
75659		50201		0.56
1699		81820		0.56
31827		52050		0.57
86473		34429		0.57
84469		34429		0.57
18578		78713		0.58
97571		91937		0.58
77441		59621		0.59
94151		41284		0.59
73448		81820		0.60
26534		26726		0.62
57544		83069		0.62
65108		75659		0.62
92125		10656		0.62
58424		28382		0.62
83203		80662		0.64
31518		41284		0.64
5463		31518		0.64
63055		94151		0.64
68735		78713		0.65
52485		14325		0.65
32762		73181		0.65
2703		73448		0.65
85884		38363		0.66
42395		80662		0.66
63277		50201		0.66
93943		16081		0.66
47127		28382		0.67
14797		78713		0.67
53105		73181		0.67
89046		31518		0.67
31326		18578		0.68
99749		26534		0.68
25144		62650		0.69
90679		63277		0.69
27629		53105		0.70
84377		5463		0.70
67304		5463		0.70
95888		89046		0.70
59656		86473		0.70
90947		83203		0.71
48689		94151		0.71
79791		83203		0.72
66382		38363		0.72
85441		45818		0.72
67254		31518		0.72
28204		67304		0.72
67751		97571		0.73
18475		67751		0.73
15019		14797		0.74
80756		31326		0.74
15111		90947		0.74
72706		31827		0.74
68410		83069		0.74
29232		93943		0.74
27770		31518		0.74
37760		34429		0.74
10657		85884		0.75
13771		52050		0.75
41869		99749		0.75
88094		31827		0.75
5656		31827		0.75
14673		70641		0.75
84152		5463		0.75
43640		45303		0.75
82832		43640		0.75
37097		64650		0.76
16741		68735		0.76
28850		77441		0.76
43929		777		0.76
3144		25798		0.76
93528		29232		0.76
41708		90679		0.76
97317		48689		0.76
23504		86473		0.76
55735		82832		0.76
99220		38845		0.76
20222		47127		0.77
96633		31326		0.77
38834		17122		0.77
23900		31827		0.78
43146		41869		0.78
9141		31518		0.78
29692		99220		0.78
56777		96633		0.79
80507		59621		0.79
88355		26534		0.79
43166		84377		0.79
78205		48692		0.79
59240		28850		0.80
36144		79456		0.80
62219		9141		0.80
67524		9141		0.80
40112		37760		0.80
22675		2703		0.80
47996		78205		0.80
15926		56777		0.81
31621		25144		0.81
7441		66382		0.81
55014		89046		0.81
15816		43929		0.82
11700		23900		0.82
87993		10657		0.82
45367		25798		0.82
90952		67304		0.82
35321		63277		0.82
12221		43166		0.82
17546		5463		0.82
74611		41869		0.83
56079		62219		0.83
67985		67524		0.83
38541		63055		0.83
928		97317		0.83
3438		62650		0.83
34506		73448		0.83
15750		15111		0.84
20640		7441		0.84
31168		72706		0.84
18526		57544		0.84
42739		5656		0.84
1985		32762		0.84
19029		67304		0.84
90808		67304		0.84
80823		29692		0.84
46888		14325		0.85
62891		74611		0.85
68641		5656		0.85
36857		42739		0.85
83893		19029		0.85
73100		84152		0.85
30588		12221		0.85
567		43640		0.85
88144		25798		0.85
20153		15750		0.86
39601		31168		0.86
83844		43146		0.86
3667		89046		0.86
52517		48689		0.86
16508		17122		0.86
59137		14797		0.87
23623		72706		0.87
71246		83203		0.87
9309		25798		0.87
60984		32762		0.87
62548		38541		0.87
78284		73995		0.87
90989		52517		0.87
83160		85884		0.88
53856		66382		0.88
30717		57544		0.88
16670		31518		0.88
70261		43146		0.88
30786		79456		0.88
11907		16741		0.89
68831		43929		0.89
31666		31827		0.89
83849		15750		0.89
79732		15111		0.89
58014		36857		0.89
95605		56079		0.89
42152		83893		0.89
85733		83893		0.89
99692		78284		0.89
78138		38845		0.89
59478		39601		0.90
26299		74611		0.90
62344		26534		0.90
28565		45818		0.90
96718		28565		0.90
12798		29692		0.90
37012		88144		0.90
11640		25798		0.90
53168		68831		0.91
83097		53856		0.91
70646		45367		0.91
87793		53105		0.91
44386		70261		0.91
78347		68641		0.91
32686		73448		0.91
54378		12798		0.91
14499		61850		0.91
10516		11907		0.92
900		64650		0.92
84744		56777		0.92
16299		59240		0.92
42618		14325		0.92
81266		42618		0.92
54887		30717		0.92
95675		87793		0.92
36342		38834		0.92
15027		9309		0.92
73982		28565		0.92
23448		67524		0.92
3241		36857		0.92
69132		89046		0.92
29592		84152		0.92
59551		78205		0.92
8659		777		0.92
91809		8659		0.92
84917		58424		0.92
3662		59478		0.93
77217		15750		0.93
41910		60984		0.93
93066		55014		0.93
16646		777		0.93
49289		777		0.93
69694		83893		0.93
94613		32762		0.93
8014		56079		0.93
45948		38541		0.93
62625		15816		0.94
88334		71246		0.94
44853		69132		0.94
5336		73448		0.94
27788		29692		0.94
70680		23504		0.94
12977		84917		0.94
35629		12977		0.94
72095		64650		0.95
17322		42618		0.95
95910		20640		0.95
60702		41284		0.95
19200		28382		0.95
87527		16646		0.95
95335		53105		0.95
23037		67985		0.95
55454		43166		0.95
25808		30786		0.95
36055		14673		0.95
8053		94613		0.95
31675		16299		0.96
2104		17322		0.96
22580		3662		0.96
36617		70261		0.96
92634		31518		0.96
69111		16013		0.96
27927		67985		0.96
43109		42739		0.96
26755		95335		0.96
99360		26755		0.96
46944		30786		0.96
41261		32762		0.96
95139		27788		0.96
51703		94151		0.96
22154		73448		0.96
89207		16508		0.96
99800		12977		0.96
47011		80662		0.97
54328		31326		0.97
39233		28850		0.97
54422		83097		0.97
97422		17322		0.97
54428		53856		0.97
44660		11700		0.97
45391		77217		0.97
49273		13771		0.97
14573		36342		0.97
19032		23448		0.97
11546		67985		0.97
42533		30786		0.97
37176		45303		0.97
35904		29692		0.97
90208		95888		0.97
73726		37012		0.97
50334		25798		0.97
12919		20222		0.98
83900		59478		0.98
32028		75659		0.98
51849		68641		0.98
93920		16081		0.98
94702		18475		0.98
50512		35904		0.98
38024		45818		0.98
90647		2703		0.98
3097		27629		0.99
79996		62891		0.99
3682		79996		0.99
69266		9141		0.99
55452		43109		0.99
21170		55454		0.99
28285		38541		0.99
23644		68410		0.99
40815		25144		0.99
87982		25798		0.99
90703		27770		0.99
57011		75659		0.99
51527		88144		0.99
78107		38845		0.99
31617		20222		1.00
19062		20222		1.00
66548		95675		1.00
52442		66548		1.00
14715		25144		1.00
3611		31827		1.00
17414		78284		1.00
54648		95335		1.00
30944		55014		1.00
37432		41284		1.00
16774		62219		1.00
43330		51703		1.00
11595		57011		1.00
47778		73448		1.00
65550		54378		1.00
89099		78107		1.00
60857		14797		1.01
82021		57544		1.01
67538		26726		1.01
18507		49273		1.01
36883		52442		1.01
38285		26299		1.01
82027		87793		1.01
26337		31326		1.01
70021		52050		1.01
10653		95335		1.01
42651		95335		1.01
65273		43640		1.01
42920		87982		1.01
35072		89046		1.01
49656		12798		1.01
82426		59551		1.01
54068		14325		1.01
62069		60857		1.02
30380		60857		1.02
9552		53856		1.02
4103		16299		1.02
68496		84744		1.02
23010		20153		1.02
16070		34429		1.02
47808		59137		1.02
1537		93528		1.02
80077		36617		1.02
66770		92634		1.02
29443		80077		1.02
14079		86473		1.02
85307		86473		1.02
89689		14079		1.02
52725		91937		1.02
33018		9309		1.02
72591		69132		1.02
42287		41261		1.02
77036		85441		1.02
34910		3438		1.02
44178		65108		1.02
77225		12798		1.02
83196		94613		1.02
58748		42533		1.02
89527		43166		1.02
7569		43330		1.02
54034		63277		1.02
78855		78205		1.02
60416		73181		1.02
16011		78107		1.02
46918		9552		1.03
48786		32028		1.03
47130		43929		1.03
45068		80077		1.03
60077		59621		1.03
56709		48689		1.03
47248		58014		1.03
71554		23448		1.03
73180		43166		1.03
19054		99360		1.03
7818		94151		1.03
50250		9141		1.03
65585		28204		1.03
79409		65585		1.03
83054		90989		1.03
76120		32686		1.03
23486		94613		1.03
32130		8014		1.03
51869		68641		1.03
8542		91809		1.03
26651		16081		1.03
97638		37176		1.03
97058		89415		1.03
3581		73181		1.03
14839		3581		1.03
71176		567		1.03
31046		45818		1.03
78712		11640		1.03
98664		34429		1.03
21387		68735		1.04
83328		68496		1.04
84898		11700		1.04
73149		57544		1.04
69635		18578		1.04
32915		70641		1.04
15714		51142		1.04
89753		70261		1.04
26249		89753		1.04
50189		31168		1.04
53382		38834		1.04
80845		16646		1.04
19016		72706		1.04
35666		45303		1.04
15193		45303		1.04
20438		44853		1.04
70696		11595		1.04
48248		27788		1.04
53751		88144		1.04
32067		52050		1.05
31541		39233		1.05
29210		62069		1.05
801		62625		1.05
55522		15750		1.05
34552		54887		1.05
22443		11700		1.05
98650		44660		1.05
40086		3097		1.05
74950		63277		1.05
55806		81820		1.05
75644		23448		1.05
48787		55452		1.05
72108		71246		1.05
36386		72108		1.05
9007		23504		1.05
23985		28285		1.05
43989		65273		1.05
73136		11546		1.05
28199		26534		1.05
94040		62344		1.05
60093		27788		1.05
14295		567		1.05
93050		82832		1.05
52559		22154		1.05
65406		91937		1.05
97341		15816		1.06
28018		46918		1.06
41038		68831		1.06
18856		15926		1.06
53754		66382		1.06
53600		99749		1.06
700		14715		1.06
15749		45818		1.06
9203		62344		1.06
64385		50189		1.06
96345		69694		1.06
34044		80507		1.06
8638		27770		1.06
54663		83844		1.06
24194		65108		1.06
64298		95605		1.06
54584		78347		1.06
79475		95139		1.06
28705		37012		1.06
40626		90647		1.06
98402		67751		1.06
70341		18475		1.06
60388		35629		1.06
35940		73726		1.06
21412		14499		1.06
37240		83069		1.06
53226		78205		1.06
13506		89415		1.07
51945		2104		1.07
56934		10516		1.07
69161		64650		1.07
28531		43929		1.07
93714		84744		1.07
52036		22580		1.07
7798		15714		1.07
58813		38285		1.07
44546		34429		1.07
87153		24194		1.07
71693		90679		1.07
71069		49289		1.07
4121		93943		1.07
48331		3438		1.07
52869		23644		1.07
77496		90703		1.07
39961		1985		1.07
62782		78284		1.07
11597		26651		1.07
78482		18475		1.07
7172		67751		1.07
78350		97058		1.07
70013		78482		1.07
53858		67524		1.07
54009		12977		1.07
59358		99800		1.07
35589		10516		1.08
6022		72095		1.08
40968		28850		1.08
92221		56777		1.08
56925		54422		1.08
93645		18578		1.08
29788		31827		1.08
76737		84898		1.08
92536		28018		1.08
15390		53856		1.08
62307		54887		1.08
70456		98650		1.08
85118		53754		1.08
76726		79732		1.08
6692		90952		1.08
64429		36342		1.08
74582		80077		1.08
10976		92634		1.08
21395		27629		1.08
91948		10976		1.08
61041		38285		1.08
14399		72108		1.08
4493		19029		1.08
57756		89046		1.08
25940		16670		1.08
28833		72591		1.08
48644		68641		1.08
94522		7818		1.08
43756		50250		1.08
66150		62219		1.08
71061		78138		1.08
61233		69694		1.08
35052		52517		1.08
37280		30588		1.08
38501		90208		1.08
59516		50512		1.08
61762		97058		1.08
88668		16508		1.08
22061		71176		1.08
74847		777		1.08
32604		46918		1.09
98742		41038		1.09
85598		28018		1.09
13993		82021		1.09
93237		23623		1.09
3632		15926		1.09
53418		85118		1.09
91008		10657		1.09
19403		16670		1.09
26242		5463		1.09
815		16013		1.09
51621		26755		1.09
98181		28565		1.09
56673		61850		1.09
51734		45367		1.09
98262		1985		1.09
47014		64298		1.09
22398		54584		1.09
46372		3241		1.09
44632		34910		1.09
80032		34910		1.09
64471		70641		1.09
157		43756		1.09
97489		66150		1.09
24086		58748		1.09
84928		59516		1.09
96182		16081		1.09
51980		53858		1.09
18788		43330		1.09
89058		14295		1.09
12310		27788		1.09
78220		89058		1.09
33368		71176		1.09
21745		89099		1.09
13998		29210		1.10
29177		56934		1.10
1077		92536		1.10
54704		16013		1.10
80959		25144		1.10
54196		85441		1.10
67516		5656		1.10
66283		70641		1.10
81239		83203		1.10
48981		34044		1.10
29544		14399		1.10
95002		80845		1.10
55384		36386		1.10
88437		98262		1.10
16255		4121		1.10
85962		26755		1.10
23756		21170		1.10
73449		40815		1.10
84979		37432		1.10
64513		65273		1.10
59849		73448		1.10
98471		23486		1.10
61056		16774		1.10
66717		35072		1.10
96024		48248		1.10
85383		36055		1.10
22490		51980		1.10
97899		53858		1.10
95820		88144		1.10
97983		54009		1.10
97537		71176		1.10
58531		35589		1.11
26855		31617		1.11
89681		31617		1.11
45717		54328		1.11
15455		92221		1.11
38131		14325		1.11
25962		98742		1.11
94783		76737		1.11
39056		84898		1.11
92408		3632		1.11
60844		80959		1.11
5129		54196		1.11
93388		96633		1.11
38998		67516		1.11
76098		700		1.11
51521		26249		1.11
46382		27629		1.11
11103		73100		1.11
82070		1537		1.11
78522		73180		1.11
13029		54648		1.11
97101		85307		1.11
92114		16670		1.11
23099		67751		1.11
32956		99749		1.11
52208		5656		1.11
50361		78350		1.11
50285		1985		1.11
73549		93050		1.11
20743		37240		1.11
44398		21745		1.11
19709		78713		1.12
72785		31617		1.12
15197		70641		1.12
53655		41038		1.12
25752		25962		1.12
37218		32604		1.12
19287		45303		1.12
15677		22443		1.12
4260		23623		1.12
94331		28531		1.12
2919		93388		1.12
14982		71246		1.12
32476		79791		1.12
75584		70261		1.12
86650		26249		1.12
9190		66283		1.12
44611		66283		1.12
54122		44660		1.12
57617		11103		1.12
78600		31168		1.12
43954		50201		1.12
88925		3438		1.12
41563		18526		1.12
86117		52725		1.12
13174		60984		1.12
81651		41869		1.12
75828		86117		1.12
95179		61056		1.12
48550		32130		1.12
20925		50285		1.12
59336		26651		1.12
99699		30588		1.12
408		5336		1.12
80584		5336		1.12
21240		55735		1.12
33350		65406		1.12
59151		21745		1.12
64396		56934		1.13
56354		25962		1.13
